"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000213934",1279.67470178812,5.87363382957187,0.862106409587876,6.81311931363522,9.55048662771371e-12,1.43199996495939e-07,"HBG1"
"ENSG00000123838",90.372256378974,-6.77767928931109,1.04901793102825,-6.46097563143427,1.04030072570103e-10,5.19942302705376e-07,"C4BPA"
"ENSG00000076864",156.222692814705,-5.8067185447507,0.891657938769008,-6.51227145778263,7.40227883604668e-11,5.19942302705376e-07,"RAP1GAP"
"ENSG00000169429",15057.9100092329,3.21227479542596,0.622609154687793,5.15937610496067,2.47774123372682e-07,0.000928781301462497,"CXCL8"
"ENSG00000137285",70.8723121134887,4.07537713432815,0.824667381288527,4.94184349568969,7.73873268407852e-07,0.00193390929775122,"TUBB2B"
"ENSG00000157168",131.126270968063,4.04055058689108,0.812548456228787,4.97268877433371,6.60306210889145e-07,0.00193390929775122,"NRG1"
"ENSG00000235169",242.9739196122,-3.18625437039718,0.667339427414003,-4.77456334738709,1.80097588067267e-06,0.00385769033640085,"SMIM1"
"ENSG00000157601",3526.29443036365,2.56794346389918,0.543557255363579,4.72432929293072,2.30876056249705e-06,0.0043271944842601,"MX1"
"ENSG00000285668",29.0991206605553,-8.12500713491938,1.78339233343835,-4.55592803814206,5.21547910672496e-06,0.00822561946033862,NA
"ENSG00000281181",252.028717730225,4.57293854202374,1.00608267660318,4.54529100676227,5.48594068316568e-06,0.00822561946033862,NA
"ENSG00000188856",258.463862794337,-4.62879520501697,1.11656400454118,-4.1455708639999,3.38968145559007e-05,0.0462044397682886,"RPSAP47"
"ENSG00000229314",133.637037941077,-3.64538166013262,0.898065023262924,-4.05915113683853,4.92514297054535e-05,0.0615396614169642,"ORM1"
"ENSG00000255328",18.9375992047605,7.7141197311396,1.90964330486928,4.03956053545175,5.35514455973596e-05,0.0617654134836008,NA
"ENSG00000169994",83.5575158816074,3.04633286011196,0.762676978728288,3.99426355465917,6.48956458616189e-05,0.0648696876032742,"MYO7B"
"ENSG00000197415",183.015175259847,2.44252811935772,0.610437631390124,4.00127383004789,6.30023969935703e-05,0.0648696876032742,"VEPH1"
"ENSG00000280800",60.0615628151912,-3.77468087653017,0.961768894833442,-3.92472754817452,8.68279518813213e-05,0.0813686444067832,NA
"ENSG00000180537",414.02936837895,-2.14023519400247,0.553919874171705,-3.86379924930991,0.000111636980182952,0.0984638165213637,"RNF182"
"ENSG00000201998",292.807259495359,2.90981987324516,0.759550885206408,3.83097423743298,0.000127636870696792,0.106321513290428,"SNORA23"
"ENSG00000154556",32.3019529997569,4.20996322374567,1.11211366660761,3.78555119872569,0.000153368252544182,0.121031767297235,"SORBS2"
"ENSG00000111331",1936.30842420594,1.89250026238949,0.503163477216901,3.76120356123082,0.000169097742365723,0.126772577451582,"OAS3"
